,rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
127,4559,1950,1.0,1,715,10,1.0,84,1,1,0,1,1,1,1,1,Kew Gardens,Queens
128,8928,2800,1.0,1,640,2,11.0,9,0,0,0,0,0,1,0,0,Long Island City,Queens
129,5985,3400,2.0,2,1400,4,3.0,22,0,0,0,0,0,0,0,0,Astoria,Queens
130,10961,2400,2.0,1,969,3,2.0,75,1,0,0,0,0,0,0,0,Rego Park,Queens
131,8776,1400,0.0,1,600,7,3.0,89,0,0,0,0,0,0,0,0,Kew Gardens,Queens
132,11154,1725,1.0,1,720,2,2.0,14,0,0,0,0,0,0,0,0,Forest Hills,Queens
133,4382,2800,2.0,2,1000,9,1.0,101,1,0,0,0,0,0,0,0,Astoria,Queens
134,7149,1700,1.5,1,600,3,2.0,86,0,0,0,0,0,0,0,0,Ridgewood,Queens
135,7282,2275,0.0,1,500,43,5.0,5,0,0,0,1,0,0,0,0,Long Island City,Queens
136,8520,2600,1.0,1,705,6,2.0,8,0,0,0,0,0,1,0,0,Astoria,Queens
137,325,2500,2.0,1,680,3,11.0,88,0,0,0,0,0,0,0,0,Long Island City,Queens
138,3636,2000,1.0,1,650,3,6.0,85,0,0,0,0,0,0,0,0,Astoria,Queens
139,6571,3800,2.0,0,1047,10,12.0,6,1,0,0,0,0,0,0,0,Astoria,Queens
140,1952,3160,1.0,1,721,6,20.0,3,0,0,0,0,0,0,0,0,Long Island City,Queens
141,11166,2650,1.0,1,875,8,16.0,56,1,1,1,0,1,1,0,0,Forest Hills,Queens
142,112,1750,1.0,1,720,2,2.0,15,0,1,0,1,1,1,0,0,Forest Hills,Queens
143,2399,2000,1.0,1,900,4,3.0,70,0,0,0,0,0,0,0,0,Rego Park,Queens
144,10793,1750,1.0,1,685,17,3.0,57,1,0,0,0,0,0,0,0,Flushing,Queens
145,9038,1750,1.0,1,850,3,4.0,75,0,0,0,0,0,0,0,0,Rego Park,Queens
146,10628,1995,2.0,1,850,37,5.0,53,1,0,0,0,0,0,0,0,Queens Village,Queens
147,6697,1550,1.0,1,600,3,2.0,87,0,0,0,0,0,0,0,0,Sunnyside,Queens
148,5278,3300,2.0,1,858,10,6.0,6,1,0,0,0,0,0,0,0,Astoria,Queens
149,10889,2200,2.0,2,1200,1,2.0,76,0,0,0,0,0,0,0,0,Rego Park,Queens
150,5648,2535,1.0,1,575,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
151,10612,2300,0.0,1,484,5,6.0,10,0,1,0,0,0,1,0,0,Long Island City,Queens
152,9419,3139,1.0,1,706,3,18.0,16,1,0,0,0,0,0,0,0,Long Island City,Queens
153,5894,1950,1.0,1,480,10,2.0,1,1,0,0,0,0,0,0,0,Ridgewood,Queens
154,6948,1925,0.0,1,460,2,1.0,9,0,0,0,0,0,1,1,0,Astoria,Queens
155,8183,1650,1.0,1,750,4,1.0,20,0,0,0,0,0,0,0,0,Kew Gardens,Queens
156,4246,2350,2.0,2,850,10,2.0,9,1,0,0,0,0,0,0,0,Ridgewood,Queens
157,5865,2600,2.0,1,1000,3,6.0,13,1,0,0,0,0,0,0,0,Forest Hills,Queens
158,10343,1800,1.0,1,800,12,3.0,65,0,0,0,0,0,0,0,0,Jackson Heights,Queens
159,2011,1475,0.0,1,448,12,3.0,60,1,1,0,1,1,1,0,1,Forest Hills,Queens
160,5895,3300,1.0,1,762,10,7.0,8,1,1,0,1,1,0,0,1,Long Island City,Queens
161,9876,2200,1.0,1,665,27,4.0,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Queens
162,8260,1475,0.0,0,380,1,3.0,86,0,0,0,0,0,0,0,0,Sunnyside,Queens
163,8164,3495,1.0,1,985,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
164,3204,3000,1.0,1,629,6,19.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
165,6380,2200,1.0,1,487,3,4.0,6,1,0,0,0,0,0,0,0,Long Island City,Queens
166,3853,3200,1.0,1,875,3,10.0,20,0,0,0,0,0,0,0,0,Long Island City,Queens
167,8684,1850,1.0,1,550,2,2.0,98,0,0,0,0,0,0,0,0,Astoria,Queens
168,1968,2800,1.0,1,591,9,6.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
169,1965,2650,1.0,1,648,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
170,7413,2350,2.0,2,1250,8,5.0,54,0,0,0,0,0,0,0,0,Rego Park,Queens
171,9390,1650,1.0,1,809,18,1.0,53,1,0,0,1,0,0,0,0,Flushing,Queens
172,4755,1600,0.0,1,650,12,1.0,60,1,0,1,0,0,0,0,0,Kew Gardens,Queens
173,4096,1650,1.0,1,820,2,3.0,87,0,0,0,0,0,0,0,0,Sunnyside,Queens
174,2646,1500,1.0,1,621,6,4.0,13,0,0,0,0,0,0,0,0,Briarwood,Queens
175,8454,3950,2.0,2,1100,6,6.0,2,0,0,0,0,0,0,0,0,Long Island City,Queens
176,5605,1625,0.0,1,550,2,4.0,74,0,0,0,0,0,0,0,0,Sunnyside,Queens
177,9382,1800,0.0,1,588,5,8.0,56,1,0,0,0,0,0,0,0,Rego Park,Queens
178,839,2175,2.0,2,1000,2,4.0,14,0,0,0,0,0,0,0,0,Forest Hills,Queens
179,629,3350,1.0,1,600,4,7.0,86,1,0,0,0,0,0,0,0,Long Island City,Queens
180,4158,2950,3.0,2,1413,2,4.0,68,0,0,0,0,0,0,0,0,Rego Park,Queens
181,3009,2499,3.0,1,800,10,1.0,88,0,0,0,0,0,0,0,0,Astoria,Queens
182,3903,1800,1.0,1,850,1,2.0,57,0,0,0,0,0,0,0,0,Forest Hills,Queens
183,5754,3125,1.0,1,691,6,3.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
184,5767,5350,3.0,2,1023,6,21.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
185,8312,2550,3.0,1,900,11,2.0,88,0,0,0,0,0,0,0,0,Jackson Heights,Queens
186,8360,1350,1.0,1,400,18,4.0,85,1,0,0,0,0,0,0,0,Queens Village,Queens
187,8461,2450,2.0,1,1111,3,5.0,62,0,0,0,0,0,0,0,0,Forest Hills,Queens
188,2922,4500,2.0,2,1285,3,3.0,9,1,1,0,0,0,1,1,0,Long Island City,Queens
189,8993,1450,1.0,1,550,20,4.0,85,0,0,0,0,0,0,0,0,Flushing,Queens
190,5761,3911,2.0,2,913,6,18.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
191,10246,1900,1.0,1,700,5,1.0,85,0,0,0,0,0,0,0,0,Astoria,Queens
192,4724,1350,0.0,1,350,10,3.0,66,0,0,0,0,0,0,0,0,Jackson Heights,Queens
193,8313,2850,3.0,1,900,11,2.0,52,0,0,0,0,0,0,0,0,Astoria,Queens
194,10579,2600,1.0,1,812,6,1.0,61,0,0,0,0,0,0,0,0,Flushing,Queens
195,9281,1550,0.0,1,449,3,3.0,66,1,0,0,0,0,0,0,0,Rego Park,Queens
196,7017,2750,1.0,1,570,9,6.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
197,7226,2200,0.0,1,500,3,7.0,88,0,0,0,0,0,0,0,0,Long Island City,Queens
198,5380,3300,4.0,1,1100,1,3.0,51,0,0,0,0,0,0,0,0,Elmhurst,Queens
199,296,3300,3.0,1,1000,2,4.0,3,0,0,0,0,0,0,0,0,Astoria,Queens
200,6200,2200,2.0,2,800,2,1.0,86,0,0,0,0,0,0,0,0,Ridgewood,Queens
201,828,2725,0.0,1,537,6,3.0,85,1,0,0,0,0,0,0,0,Long Island City,Queens
202,1911,2900,1.0,1,786,1,5.0,10,0,0,0,0,0,0,0,0,Long Island City,Queens
203,7538,2550,2.0,1,700,9,2.0,15,0,0,0,0,0,0,0,0,Astoria,Queens
204,1175,2700,1.0,1,699,14,7.0,9,1,1,0,0,0,0,0,0,Astoria,Queens
205,5423,2200,1.0,1,1000,1,6.0,79,0,0,0,0,0,0,0,0,Forest Hills,Queens
206,1773,2100,2.0,1,850,4,2.0,86,1,0,0,0,0,0,0,0,Ridgewood,Queens
